2025-08-20 11:29:13,211 | API_CALL | Initializing BlockchainTracker
2025-08-20 11:38:09,039 | API_CALL | Address analysis requested: 0x742d35Cc...
2025-08-20 11:38:09,044 | API_CALL | Starting analysis for address: 0x742d35Cc...
2025-08-20 11:38:09,044 | API_CALL | Starting transaction flow analysis for address: 0x742d35Cc...
2025-08-20 11:38:09,044 | API_CALL | Auto-detecting currency for address: 0x742d35Cc...
2025-08-20 11:38:09,044 | API_CALL | Detecting currency for address: 0x742d35Cc...
2025-08-20 11:38:09,045 | API_CALL | Currency detection result: 0x742d35Cc... -> ETH
2025-08-20 11:38:09,045 | API_CALL | Detected currency: ETH
2025-08-20 11:38:09,045 | API_CALL | Fetching transactions for ETH address: 0x742d35Cc...
2025-08-20 11:38:09,045 | API_CALL | Fetching Ethereum transactions for address: 0x742d35Cc... | Max: 1000
2025-08-20 11:38:09,045 | API_CALL | Making Etherscan API request: https://api.etherscan.io/api | Params: {'module': 'account', 'action': 'txlist', 'address': '0x742d35Cc6634C0532925a3b8D4C9db96C4b4d8b6', 'startblock': 0, 'endblock': 99999999, 'sort': 'asc', 'apikey': 'VE4FARHUSAK9RM221QA4N82M5WUFDAGERE'}
