2025-08-20 11:26:02,051 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:27:28,539 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:27:28,547 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:27:28,845 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:27:28,845 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:27:28,853 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:27:57,639 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:27:57,639 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:27:57,645 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:27:57,756 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:27:57,764 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:27:57,770 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:29:13,211 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:29:13,213 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:13,217 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:29:13,228 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:29:13,231 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:13,238 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:29:35,009 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:29:35,009 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:35,009 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:29:35,082 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:29:35,082 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:35,090 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:29:44,735 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:29:44,735 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:44,735 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:29:44,794 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:29:44,794 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:44,794 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:29:54,392 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:29:54,392 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:29:54,392 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:54,392 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:29:54,392 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:29:54,492 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:29:54,492 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:29:54,492 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:54,492 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:29:54,492 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:30:01,091 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:30:01,091 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:30:01,091 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:01,091 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:30:01,091 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:30:01,187 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:30:01,187 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:30:01,187 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:01,187 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:30:01,204 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:30:21,968 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:30:21,968 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:30:21,968 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:21,968 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:30:21,968 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:30:22,103 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:30:22,103 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:30:22,103 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:22,103 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:30:22,103 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:30:34,686 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:30:34,686 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:30:34,686 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:34,686 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:30:34,688 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:30:34,869 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:30:34,869 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:30:34,869 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:34,869 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:30:34,869 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:30:44,410 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:30:44,410 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:30:44,410 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:44,410 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:30:44,410 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:30:44,427 | INFO     | BlockTracker.FlaskApp | <module>             | 183  | Starting Flask server
2025-08-20 11:30:44,580 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:30:44,588 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:30:44,588 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:44,588 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:30:44,588 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:30:44,588 | INFO     | BlockTracker.FlaskApp | <module>             | 183  | Starting Flask server
2025-08-20 11:31:42,604 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:31:42,604 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:31:42,604 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:31:42,604 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:31:42,604 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:31:42,607 | INFO     | BlockTracker.FlaskApp | <module>             | 183  | Starting Flask server
2025-08-20 11:31:51,997 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:31:51,997 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:31:51,997 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:31:51,997 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:31:51,997 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:31:51,997 | INFO     | BlockTracker.FlaskApp | <module>             | 183  | Starting Flask server
2025-08-20 11:32:23,501 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:32:23,501 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:32:23,501 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:32:23,501 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:32:23,501 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:32:23,501 | INFO     | BlockTracker.FlaskApp | <module>             | 183  | Starting Flask server
2025-08-20 11:36:04,767 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:36:04,767 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:36:04,767 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:36:04,767 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:36:04,767 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:36:04,767 | INFO     | BlockTracker.FlaskApp | <module>             | 201  | Starting Flask server
2025-08-20 11:36:31,162 | INFO     | BlockTracker.CLI | main                 | 285  | BlockTracker CLI started
2025-08-20 11:36:31,168 | INFO     | BlockTracker.CLI | main                 | 315  | CLI arguments: Namespace(whataddress=['0x742d35Cc6634C0532925a3b8D4C9db96C4b4d8b6'], track=None, analyze=None, graph=None)
2025-08-20 11:36:31,168 | INFO     | BlockTracker.CLI | main                 | 326  | Processing whataddress command for 1 address(es)
2025-08-20 11:36:31,168 | INFO     | BlockTracker.CLI | whataddress          | 66   | Currency detection requested for 1 address(es)
2025-08-20 11:36:31,168 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:36:31,168 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:36:31,168 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:36:31,168 | INFO     | BlockTracker.CLI | whataddress          | 70   | Processing address #1: 0x742d35Cc...
2025-08-20 11:36:31,168 | INFO     | BlockTracker.BlockchainTracker | detect_currency      | 61   | Detecting currency for address: 0x742d35Cc...
2025-08-20 11:36:31,168 | INFO     | BlockTracker.BlockchainTracker | detect_currency      | 81   | Currency detection result: 0x742d35Cc... -> ETH
2025-08-20 11:36:31,168 | INFO     | BlockTracker.CLI | whataddress          | 77   | Currency detected: 0x742d35Cc... -> ETH
2025-08-20 11:36:31,168 | INFO     | BlockTracker.CLI | whataddress          | 85   | Address 0x742d35Cc... is fully supported
2025-08-20 11:36:31,168 | INFO     | BlockTracker.CLI | whataddress          | 90   | Currency detection completed
2025-08-20 11:36:31,168 | INFO     | BlockTracker.CLI | main                 | 341  | BlockTracker CLI completed successfully
2025-08-20 11:37:52,618 | INFO     | BlockTracker.StartupScript | check_dependencies   | 19   | Checking system dependencies
2025-08-20 11:37:53,463 | INFO     | BlockTracker.StartupScript | check_dependencies   | 25   | All required dependencies are installed
2025-08-20 11:37:57,006 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:37:57,006 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:37:57,006 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:37:57,006 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:37:57,006 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:37:57,006 | INFO     | BlockTracker.FlaskApp | <module>             | 201  | Starting Flask server
2025-08-20 11:37:57,006 | ERROR    | BlockTracker.FlaskApp | <module>             | 209  | Error in startup logging: 'Logger' object has no attribute 'log_startup'
2025-08-20 11:37:57,006 | INFO     | BlockTracker.FlaskApp | <module>             | 211  | Flask server starting on http://0.0.0.0:5000
2025-08-20 11:37:57,560 | INFO     | BlockTracker.FlaskApp | <module>             | 17   | Initializing Flask application
2025-08-20 11:37:57,560 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:37:57,560 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:37:57,560 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:37:57,560 | INFO     | BlockTracker.FlaskApp | <module>             | 19   | Flask application initialized successfully
2025-08-20 11:37:57,560 | INFO     | BlockTracker.FlaskApp | <module>             | 201  | Starting Flask server
2025-08-20 11:37:57,565 | ERROR    | BlockTracker.FlaskApp | <module>             | 209  | Error in startup logging: 'Logger' object has no attribute 'log_startup'
2025-08-20 11:37:57,565 | INFO     | BlockTracker.FlaskApp | <module>             | 211  | Flask server starting on http://0.0.0.0:5000
2025-08-20 11:38:09,039 | INFO     | BlockTracker.FlaskApp | analyze_address      | 35   | Address analysis requested: 0x742d35Cc...
2025-08-20 11:38:09,044 | INFO     | BlockTracker.FlaskApp | analyze_address      | 42   | Starting analysis for address: 0x742d35Cc...
2025-08-20 11:38:09,044 | INFO     | BlockTracker.BlockchainTracker | analyze_transaction_flow | 405  | Starting transaction flow analysis for address: 0x742d35Cc...
2025-08-20 11:38:09,044 | INFO     | BlockTracker.BlockchainTracker | analyze_transaction_flow | 408  | Auto-detecting currency for address: 0x742d35Cc...
2025-08-20 11:38:09,044 | INFO     | BlockTracker.BlockchainTracker | detect_currency      | 61   | Detecting currency for address: 0x742d35Cc...
2025-08-20 11:38:09,045 | INFO     | BlockTracker.BlockchainTracker | detect_currency      | 81   | Currency detection result: 0x742d35Cc... -> ETH
2025-08-20 11:38:09,045 | INFO     | BlockTracker.BlockchainTracker | analyze_transaction_flow | 410  | Detected currency: ETH
2025-08-20 11:38:09,045 | INFO     | BlockTracker.BlockchainTracker | analyze_transaction_flow | 413  | Fetching transactions for ETH address: 0x742d35Cc...
2025-08-20 11:38:09,045 | INFO     | BlockTracker.BlockchainTracker | get_ethereum_transactions | 87   | Fetching Ethereum transactions for address: 0x742d35Cc... | Max: 1000
2025-08-20 11:38:09,045 | INFO     | BlockTracker.BlockchainTracker | get_ethereum_transactions | 105  | Making Etherscan API request: https://api.etherscan.io/api | Params: {'module': 'account', 'action': 'txlist', 'address': '0x742d35Cc6634C0532925a3b8D4C9db96C4b4d8b6', 'startblock': 0, 'endblock': 99999999, 'sort': 'asc', 'apikey': 'VE4FARHUSAK9RM221QA4N82M5WUFDAGERE'}
